,token,count
0,(,2282843
1,),2250314
2,.,2245190
3,",",1877693
4,=,1618736
5,:,1290163
6,],696978
7,[,696311
8,if,461023
9,return,272895
10,def,256059
11,in,242825
12,None,223302
13,for,170780
14,not,143497
15,-,137635
16,+,130674
17,else,123381
18,==,111080
19,{,102114
20,*,96928
21,},93412
22,is,91362
23,%,76274
24,raise,71676
25,True,71415
26,False,70229
27,and,63931
28,**,55365
29,elif,53811
30,/,52987
31,except,47039
32,try,45614
33,or,39674
34,+=,36477
35,>,32229
36,!=,28476
37,as,27004
38,<,24318
39,with,19732
40,continue,13897
41,import,13403
42,assert,13280
43,from,11859
44,while,11307
45,yield,10390
46,pass,9716
47,lambda,9695
48,->,9409
49,break,9395
50,>=,8975
51,<=,8643
52,&,6906
53,del,5360
54,|,4713
55,//,4544
56,await,4426
57,;,3701
58,@,3611
59,-=,3509
60,async,3003
61,finally,2522
62,*=,2012
63,...,1794
64,~,1757
65,>>,1578
66,<<,1521
67,global,1478
68,class,1356
69,/=,1165
70,^,1145
71,|=,1069
72,&=,365
73,^=,227
74,>>=,113
75,%=,109
76,<<=,105
77,:=,68
78,//=,66
79,nonlocal,48
80,**=,21
